,Name,Age,Height_in_cms,Weight_in_kgs,BP,Attacking,Skill,Movement,Power,Mentality,Defending,Goalkeeping,ST,LW,CF,RW,CAM,LM,CM,RM,LWB,CDM,RWB,LB,CB,RB,GK,OVA
3458,M. Laborda,20,182.88,71.55,CB,270,205,320,299,269,200,43,53,53,51,53,51,53,51,53,62,59,62,63,67,63,15,67
3459,Sokratis,32,185.42,83.25,CB,287,240,320,360,296,236,36,63,57,59,57,57,58,60,58,68,71,68,71,78,71,15,79
3460,J. Caballero,21,180.34,71.55,RM,249,250,349,286,252,125,57,56,60,59,60,59,61,56,61,54,52,54,52,48,52,17,62
3461,H. Shala,28,177.8,70.65,CAM,295,316,373,328,312,160,56,65,68,68,68,68,67,66,67,63,62,63,61,58,61,17,66
3462,A. Hahn,29,185.42,78.3,ST,364,302,331,403,330,164,67,73,70,71,70,69,70,68,70,66,64,66,65,64,65,20,72
3463,M. Benkhemassa,27,175.26,69.3,CM,280,296,308,301,310,184,53,61,63,63,63,65,64,66,64,62,65,62,62,62,62,16,66
3464,Danilo Avelar,28,185.42,78.3,LB,310,370,342,338,323,223,20,65,67,65,67,64,67,64,67,72,69,72,72,72,72,11,73
3465,K. Wright,24,170.18,67.5,LB,212,260,377,272,247,180,41,51,59,56,59,57,61,56,61,63,58,63,63,58,63,14,65
3466,Nabili Touaizi,19,185.42,71.55,ST,245,223,283,278,208,41,56,56,52,54,52,52,50,45,50,35,34,35,34,31,34,15,56
3467,M. Pereyra,30,170.18,62.550000000000004,CAM,341,366,403,329,359,153,62,71,76,75,76,77,76,76,76,68,68,68,66,59,66,19,76
3468,G. Asamoah,33,180.34,84.15,ST,336,286,293,345,326,146,48,66,65,66,65,66,64,63,64,58,61,58,58,60,58,14,66
3469,M. Al Saeed,23,175.26,70.65,LM,237,263,321,247,239,155,54,50,54,53,54,54,55,53,55,55,52,55,54,51,54,16,56
3470,Eneko Capilla,24,167.64000000000001,59.4,CAM,271,330,316,219,256,122,52,57,63,63,63,66,62,61,62,49,49,49,47,42,47,16,67
3471,Y. Leiva,22,165.1,62.550000000000004,RM,288,301,375,324,289,141,57,64,67,66,67,66,68,64,68,62,59,62,60,53,60,17,69
3472,H. Gnohéré,32,182.88,93.15,ST,325,305,318,381,308,93,57,71,64,67,64,64,63,59,63,51,52,51,49,52,49,18,71
3473,Z. Issaka,23,175.26,74.25,ST,265,252,321,309,242,97,50,57,56,56,56,55,56,52,56,48,47,48,47,46,47,15,57
3474,L. Lerager,26,187.96,84.15,CM,340,302,299,357,342,203,54,69,68,70,68,70,69,73,69,69,72,69,69,70,69,17,73
3475,H. Hassan,18,177.8,70.65,LM,265,289,382,251,235,77,55,59,64,62,64,62,63,54,63,47,42,47,44,36,44,15,64
3476,N. Rehnen,23,190.5,81.45,GK,83,87,204,193,77,34,311,25,23,24,23,23,23,22,23,21,21,21,20,21,20,62,63
3477,E. Emegha,17,195.57999999999998,82.35000000000001,ST,279,236,289,322,221,70,49,61,56,58,56,55,55,50,55,44,42,44,43,42,43,15,61
3478,J. Smith,18,185.42,84.15,CDM,206,208,291,296,224,133,51,48,48,48,48,48,49,48,49,50,50,50,50,50,50,15,48
3479,O. Darfalou,26,182.88,79.2,ST,290,259,333,357,268,101,59,67,62,64,62,60,60,54,60,49,47,49,48,48,48,17,67
3480,N. Albarracín,27,182.88,71.55,CAM,293,309,328,283,261,130,57,65,66,66,66,65,63,60,63,52,52,52,51,48,51,18,65
3481,B. Cabezas,23,182.88,71.55,RW,284,277,373,309,261,108,49,65,68,66,68,66,66,60,66,53,51,53,51,47,51,15,67
3482,A. Almici,27,177.8,74.25,RB,272,326,362,356,278,187,41,58,62,60,62,61,65,64,65,69,66,69,68,64,68,15,70
3483,S. Coulthirst,22,180.34,76.5,ST,270,249,354,331,211,59,59,62,62,62,62,61,61,53,61,44,40,44,42,37,42,17,63
3484,S. Kulenović,20,190.5,82.35000000000001,ST,256,236,356,316,254,52,54,63,60,62,60,59,59,51,59,42,41,42,41,40,41,15,63
3485,J. Tell,23,185.42,73.35000000000001,ST,323,264,296,315,265,76,37,63,61,61,61,60,60,54,60,47,45,47,45,43,45,11,63
3486,P. Pinto,21,187.96,77.4,CB,191,181,261,256,219,186,63,41,38,39,38,38,40,41,40,51,51,51,54,59,54,18,59
3487,I. Cardona,22,185.42,76.5,ST,340,331,335,358,271,64,52,71,71,72,71,71,70,65,70,51,48,51,47,41,47,17,71
3488,J. Niezgoda,25,185.42,72.45,ST,275,261,357,344,262,98,42,69,65,68,65,65,63,58,63,48,47,48,47,45,47,15,69
3489,S. McLoughlin,23,190.5,73.35000000000001,CB,224,227,260,273,249,188,42,48,49,48,49,49,52,53,52,59,60,59,60,63,60,14,63
3490,Juan Carlos,29,182.88,72.45,CAM,316,357,345,318,316,160,47,68,73,72,73,74,73,73,73,65,65,65,62,58,62,15,73
3491,C. Zesiger,22,193.04,89.10000000000001,CB,237,186,266,285,229,200,46,48,45,45,45,44,48,49,48,60,61,60,62,67,62,14,67
3492,K. Mets,27,190.5,79.2,CB,262,270,276,345,295,198,59,56,55,56,55,57,58,61,58,63,66,63,63,67,63,17,67
3493,J. Ferreira,19,172.72,63.45,ST,285,246,400,335,288,66,56,68,65,68,65,65,63,58,63,46,45,46,45,41,45,17,68
3494,C. Tioté,30,180.34,85.5,CB,319,294,348,376,336,230,42,64,65,65,65,66,67,69,67,73,75,73,73,77,73,15,76
3495,P. Fuentes,24,177.8,76.5,CB,244,254,251,297,281,182,57,53,53,53,53,54,54,56,54,56,58,56,57,61,57,17,61
3496,A. Hasić,18,177.8,66.60000000000001,CAM,276,330,362,263,249,119,55,61,66,65,66,65,64,59,64,51,48,51,49,44,49,16,65
3497,D. Holec,25,190.5,88.2,GK,68,72,137,165,99,33,341,20,18,19,18,20,19,21,19,17,21,17,17,20,17,65,66
3498,A. Miranda,27,177.8,73.35000000000001,CAM,249,272,377,308,306,146,64,60,64,63,64,64,64,62,64,59,60,59,58,56,58,18,62
3499,L. Netz,17,187.96,73.35000000000001,LB,228,219,324,247,260,198,52,50,54,51,54,49,55,48,55,60,54,60,61,60,61,16,63
3500,E. Sierra,18,170.18,62.550000000000004,CAM,236,282,352,223,227,145,42,52,56,56,56,58,57,57,57,52,52,52,52,46,52,14,57
3501,Juan,31,167.64000000000001,65.7,LM,326,363,379,322,345,201,53,66,73,69,73,71,73,71,73,71,68,71,69,66,69,15,69
3502,Pleguezuelo,23,180.34,69.3,CB,254,275,334,277,260,200,57,52,56,54,56,56,58,58,58,65,65,65,65,66,65,17,66
3503,A. Tonev,30,177.8,69.3,LM,281,320,351,350,290,126,51,62,65,64,65,64,65,61,65,57,54,57,55,50,55,15,66
3504,M. Gómez,23,185.42,83.25,ST,378,345,342,404,324,78,46,80,74,77,74,75,73,69,73,54,54,54,51,50,51,16,80
3505,K. Mellor,29,187.96,74.25,RB,247,252,298,300,263,178,61,53,56,54,56,55,58,56,58,61,59,61,61,60,61,18,63
3506,W. Troost-Ekong,26,190.5,81.45,CB,216,190,285,303,262,225,47,48,44,45,44,45,47,51,47,62,65,62,65,73,65,16,73
3507,S. Rochet,27,190.5,81.45,GK,88,100,243,230,128,43,337,30,28,30,28,30,30,30,30,28,28,28,28,27,28,68,69
3508,T. Coulibaly,19,175.26,71.55,LM,253,269,357,236,208,73,45,53,59,57,59,57,58,49,58,46,38,46,43,33,43,13,59
3509,R. McKenzie,21,182.88,74.25,CB,214,240,281,296,272,187,50,50,50,52,50,53,53,56,53,58,61,58,59,63,59,15,63
3510,F. Flores,18,182.88,75.60000000000001,CB,237,211,292,263,230,188,45,49,50,49,50,50,51,52,51,58,58,58,59,61,59,14,61
3511,M. Hartmann,32,193.04,89.10000000000001,CB,271,247,243,314,314,203,67,59,52,56,52,55,54,60,54,60,67,60,61,69,61,20,69
3512,N. Mbo,21,185.42,81.45,ST,210,181,328,360,221,53,40,58,52,54,52,49,49,41,49,38,35,38,37,39,37,12,58
3513,C. Henderson,24,185.42,73.35000000000001,LM,286,315,328,307,268,119,61,59,62,61,62,61,62,60,62,56,54,56,54,50,54,17,61
3514,B. Rodríguez,20,172.72,67.5,RM,295,295,375,301,237,60,50,64,69,67,69,67,68,59,68,50,43,50,45,34,45,15,69
3515,T. Chorý,25,200.66,100.35000000000001,ST,316,272,264,338,284,63,44,70,63,66,63,64,62,59,62,45,47,45,43,45,43,15,70
3516,L. Gamba,33,170.18,69.3,CAM,336,348,415,364,266,73,48,73,76,76,76,76,74,68,74,54,50,54,51,42,51,15,73
3517,S. Ngezana,22,185.42,76.5,CB,172,193,301,255,230,205,62,42,39,40,39,40,43,46,43,55,58,55,60,65,60,16,65
3518,A. Ibrahimaj,28,180.34,73.35000000000001,RW,267,278,345,295,244,83,63,59,62,61,62,60,61,53,61,48,44,48,45,41,45,18,60
3519,M. Baša,33,190.5,82.35000000000001,CB,287,264,227,346,305,231,54,59,51,55,51,56,53,64,53,62,73,62,65,76,65,17,77
3520,Marcelo Grohe,33,187.96,81.45,GK,81,87,218,201,172,41,364,28,27,29,27,32,28,32,28,26,30,26,26,28,26,73,74
3521,B. Morris,20,175.26,59.4,ST,261,237,361,266,224,49,50,59,60,60,60,59,59,52,59,41,38,41,39,31,39,14,59
3522,A. Jahanbakhsh,26,180.34,77.4,RW,341,328,380,381,313,122,47,73,74,74,74,74,73,69,73,61,59,61,58,54,58,16,74
3523,P. Neville,35,180.34,75.60000000000001,CB,315,283,321,349,335,224,41,59,63,61,63,63,65,68,65,72,74,72,73,75,73,12,74
3524,P. Pekarík,33,177.8,72.45,RB,252,317,350,291,289,234,58,55,63,60,63,62,66,65,66,74,71,74,73,70,73,18,75
3525,D. Laxalt,27,177.8,70.65,LM,308,347,405,349,323,202,49,68,75,73,75,74,76,74,76,75,72,75,73,65,73,17,77
3526,Javi Navarro,23,182.88,68.4,RM,277,295,345,272,242,71,61,60,65,63,65,64,65,58,65,49,45,49,45,37,45,17,66
3527,J. Maatje,33,185.42,72.45,ST,313,266,260,324,301,52,66,85,72,85,72,73,72,66,72,56,68,56,58,55,58,23,86
3528,K. Ibrahim,20,187.96,85.5,GK,62,70,157,179,91,34,269,20,18,19,18,21,20,22,20,19,22,19,19,22,19,53,54
3529,M. Sansores,29,175.26,72.45,ST,296,270,330,326,247,87,59,65,62,63,62,62,61,57,61,49,48,49,47,45,47,18,65
3530,W. Togui,23,180.34,80.55,ST,308,241,349,360,265,49,47,67,65,65,65,62,63,53,63,47,41,47,44,39,44,15,67
3531,A. Traoré,18,177.8,74.25,ST,269,245,341,303,233,51,51,61,59,59,59,57,57,49,57,42,39,42,40,37,40,16,61
3532,M. Keane,27,190.5,81.45,CB,300,283,309,339,285,236,56,59,58,58,58,59,60,64,60,70,73,70,72,78,72,19,78
3533,D. Zima,19,190.5,79.2,CB,230,267,318,297,265,210,50,53,53,54,53,55,55,59,55,63,67,63,65,70,65,16,70
3534,F. Jørgensen,18,175.26,67.5,CM,249,268,319,290,287,153,56,56,59,59,59,60,60,61,60,58,59,58,57,56,57,17,61
3535,Manu García,34,182.88,73.35000000000001,CDM,325,332,285,366,389,229,49,69,67,70,67,71,69,75,69,72,77,72,71,76,71,17,75
3536,A. Rowe,19,180.34,69.3,RM,245,281,323,242,207,70,56,54,58,56,58,56,57,49,57,43,39,43,40,33,40,16,58
3537,E. Berisha,31,193.04,91.35000000000001,GK,66,80,192,225,128,41,372,26,22,25,22,25,24,27,24,24,27,24,23,26,23,75,76
3538,M. Formica,32,175.26,69.3,CAM,327,349,347,321,294,117,64,68,69,69,69,69,68,64,68,54,53,54,52,49,52,19,69
3539,K. Tobers,19,187.96,74.25,CB,223,209,254,294,241,181,56,47,47,47,47,49,49,53,49,56,60,56,57,61,57,16,61
3540,M. Ashimeru,22,182.88,71.55,CAM,294,321,370,344,309,180,59,65,70,70,70,71,71,71,71,68,67,68,66,61,66,19,71
3541,J. Fitzwater,22,187.96,69.3,CB,221,225,319,299,249,186,51,49,47,48,47,49,50,52,50,57,59,57,59,63,59,16,63
3542,Riesgo,36,185.42,77.4,GK,98,100,282,231,124,42,351,28,28,28,28,29,30,29,30,29,29,29,28,28,28,70,71
3543,J. Vossen,31,182.88,78.3,ST,355,349,315,348,341,123,54,71,69,71,69,71,69,69,69,58,59,58,55,53,55,17,71
3544,D. Ballard,19,187.96,84.15,CB,194,183,246,264,203,172,42,41,38,39,38,40,41,44,41,50,53,50,52,58,52,14,59
3545,J. Smits,27,190.5,66.60000000000001,GK,97,111,286,221,119,61,328,31,30,31,30,32,31,31,31,30,31,30,30,29,30,65,66
3546,M. Borriello,35,185.42,84.15,ST,356,327,323,338,303,62,42,76,70,73,70,70,68,62,68,48,48,48,46,45,46,16,77
3547,Filipe Luís,32,182.88,73.35000000000001,LWB,353,386,372,362,371,248,49,72,76,74,76,75,78,78,78,83,81,83,83,80,83,18,85
3548,B. Santamaria,25,182.88,72.45,CDM,313,343,331,365,327,232,42,68,70,71,70,73,73,77,73,75,78,75,74,74,74,15,79
3549,M. Sotillo,35,182.88,77.4,GK,80,97,232,223,92,40,350,29,25,27,25,25,26,25,26,25,25,25,25,25,25,69,70
3550,A. Al Hamlawi,19,180.34,74.25,ST,259,228,295,300,207,78,45,56,52,53,52,51,51,46,51,41,40,41,41,40,41,13,56
3551,J. McEachran,27,177.8,64.35000000000001,CDM,281,345,340,247,299,193,57,55,65,62,65,66,66,67,66,66,66,66,65,61,65,18,67
3552,D. Verón,36,180.34,83.25,CB,278,281,295,332,306,215,64,59,55,56,55,56,56,60,56,63,67,63,64,72,64,19,73
3553,S. Horvath,23,165.1,59.4,RM,282,307,406,304,280,146,63,59,66,64,66,64,66,61,66,61,56,61,59,51,59,18,67
3554,Zhen'ao Wang,18,175.26,64.35000000000001,RW,208,217,334,230,184,72,47,47,52,49,52,49,50,42,50,40,33,40,38,31,38,11,51
3555,Rômulo Calsede,20,180.34,77.4,ST,328,311,343,366,286,78,62,71,67,69,67,67,67,63,67,51,50,51,49,45,49,19,71
3556,T. Sang,21,185.42,73.35000000000001,CB,204,226,272,251,227,163,45,45,47,46,47,48,49,50,49,53,54,53,53,55,53,13,55
3557,Carlos Blanco,23,187.96,71.55,CB,217,247,220,323,236,196,24,45,42,45,42,49,44,56,44,52,62,52,54,64,54,10,65
3558,R. Richard,18,182.88,74.25,RB,237,238,332,275,238,173,63,50,52,50,52,50,53,50,53,58,55,58,59,58,59,17,61
3559,Kim Da Sol,31,187.96,79.2,GK,69,86,213,214,155,40,295,25,23,26,23,28,25,29,25,22,28,22,22,26,22,58,59
3560,Fran Sol,28,180.34,76.5,ST,322,307,341,376,288,81,49,73,66,70,66,67,64,61,64,49,50,49,47,47,47,17,73
3561,Nathan,18,182.88,70.65,RB,241,269,344,237,275,175,40,53,61,58,61,59,61,57,61,61,58,61,61,58,61,14,63
3562,M. Palomino,19,177.8,66.60000000000001,CAM,236,304,341,248,246,105,48,56,62,61,62,62,62,58,62,49,47,49,46,39,46,16,62
3563,J. Vertonghen,33,187.96,85.5,CB,331,356,314,380,357,257,44,68,67,68,67,69,69,73,69,77,80,77,78,82,78,17,83
3564,T. Beugelsdijk,29,193.04,78.3,CB,226,209,202,305,266,191,57,48,42,45,42,45,45,51,45,55,61,55,57,66,57,16,66
3565,J. Gallagher,24,175.26,70.65,RM,258,266,363,297,273,161,46,57,60,59,60,60,61,59,61,61,57,61,60,54,60,15,59
3566,Juan Carlos,31,182.88,71.55,GK,92,94,280,230,134,45,317,27,27,27,27,28,29,28,29,29,28,29,28,27,28,64,65
3567,D. Sorescu,22,175.26,71.55,RM,287,321,417,349,277,172,40,65,68,66,68,66,69,64,69,67,62,67,66,59,66,14,70
3568,M. Stępiński,25,182.88,71.55,ST,326,280,354,352,298,88,44,71,68,69,68,68,66,61,66,51,52,51,48,50,48,16,71
3569,A. Bakhat,20,180.34,71.55,CAM,239,280,332,257,237,127,53,51,57,56,57,58,58,57,58,52,51,52,51,46,51,16,57
3570,N. Feldhahn,33,190.5,84.15,CB,215,221,211,273,244,185,65,46,46,47,46,50,47,54,47,53,59,53,54,62,54,18,62
3571,H. Souttar,21,200.66,78.3,CB,194,211,236,276,218,202,64,43,41,42,41,44,44,50,44,55,61,55,57,66,57,18,66
3572,E. Adebayor,35,193.04,81.45,ST,353,301,317,348,329,62,56,73,68,71,68,69,66,63,66,47,49,47,45,47,45,18,74
3573,J. Hope,18,177.8,74.25,LB,175,219,273,238,203,146,44,41,45,42,45,41,45,39,45,49,44,49,49,47,49,13,51
3574,M. Camara,23,182.88,80.55,CDM,309,319,339,388,323,219,49,69,68,68,68,68,69,70,69,73,74,73,72,74,72,17,75
3575,T. Kuszczak,36,190.5,83.25,GK,89,87,237,196,146,49,336,25,26,26,26,28,27,29,27,27,30,27,27,29,27,68,69
3576,Ayoze Pérez,26,177.8,71.55,RW,378,352,401,348,354,162,57,77,79,79,79,78,77,73,77,68,65,68,66,62,66,19,79
3577,I. Benegas,32,180.34,74.25,CB,232,212,251,262,212,190,62,44,42,41,42,43,45,50,45,56,61,56,58,64,58,18,64
3578,V. Pavlidis,21,185.42,81.45,ST,329,299,350,385,288,123,61,72,68,69,68,66,67,61,67,55,53,55,54,53,54,19,72
3579,R. Ivanov,25,198.12,84.15,CB,221,219,265,267,247,187,52,46,46,46,46,48,50,53,50,56,59,56,58,62,58,15,62
3580,P. Finger,18,165.1,60.300000000000004,CAM,250,273,336,271,280,145,56,53,57,57,57,58,57,56,57,53,52,53,52,49,52,17,57
3581,E. Idem,21,187.96,71.55,GK,59,71,237,200,83,36,277,22,20,21,20,21,21,20,21,20,20,20,20,22,20,54,55
3582,Lucas Kal,24,185.42,77.4,CB,181,163,277,283,218,187,43,41,37,37,37,36,38,39,38,51,51,51,54,60,54,14,60
3583,F. Hasani,30,187.96,75.60000000000001,RW,313,352,344,343,319,118,51,66,68,67,68,67,67,64,67,57,57,57,54,53,54,16,67
3584,Y. Osorio,26,187.96,76.5,CB,229,204,275,300,264,222,51,48,46,47,46,47,48,52,48,63,67,63,66,74,66,17,74
3585,A. Burgstaller,20,177.8,68.4,LWB,231,248,341,270,252,170,50,49,55,52,55,54,56,54,56,59,56,59,58,56,58,15,60
3586,V. Timmers,19,185.42,74.25,GK,54,74,143,181,80,35,283,18,16,17,16,17,17,18,17,16,18,16,16,19,16,54,55
3587,A. Canbaz,22,182.88,72.45,CAM,251,312,337,293,257,66,49,58,62,61,62,61,61,56,61,47,44,47,43,35,43,15,61
3588,A. Surman,32,177.8,72.45,CM,324,347,305,332,346,195,61,65,67,68,67,70,68,73,68,67,71,67,66,67,66,20,74
3589,S. Aluko,31,172.72,61.65,LW,295,338,384,268,265,119,50,62,67,65,67,66,64,59,64,52,49,52,50,46,50,16,65
3590,N. Oduwa,24,182.88,70.65,RM,274,282,376,275,264,109,47,62,64,63,64,62,63,56,63,53,50,53,51,48,51,15,64
3591,S. Field,22,185.42,64.35000000000001,CM,289,303,308,306,292,190,51,60,60,61,60,63,63,66,63,64,66,64,63,63,63,16,67
3592,P. Jagne,29,175.26,78.3,LB,290,325,366,378,321,190,57,67,67,67,67,66,68,65,68,68,66,68,67,67,67,17,68
3593,L. Cattermole,31,177.8,77.4,CDM,306,309,303,330,327,209,64,60,59,59,59,60,60,64,60,65,68,65,65,69,65,18,69
3594,L. Boyé,24,182.88,78.3,ST,320,315,351,335,301,133,54,69,69,69,69,68,69,63,69,57,56,57,55,56,55,17,69
3595,G. Cox,22,170.18,65.7,LB,248,275,337,290,267,180,54,54,58,56,58,56,59,56,59,63,60,63,63,60,63,16,65
3596,José Ángel,28,182.88,73.35000000000001,CM,270,321,315,330,335,177,52,60,63,63,63,64,65,66,65,65,66,65,63,62,63,17,66
3597,F. Doucouré,19,172.72,60.300000000000004,RB,232,250,384,256,244,182,55,51,56,53,56,53,57,53,57,61,56,61,62,57,62,16,64
3598,R. Bingham,25,180.34,74.25,ST,253,243,350,295,222,52,58,60,59,59,59,57,56,47,56,40,36,40,38,36,38,17,61
3599,K. Magennis,21,177.8,72.45,CAM,278,323,346,310,280,127,51,61,64,63,64,64,64,62,64,57,56,57,55,51,55,16,62
3600,Gayà,25,172.72,65.7,LWB,340,365,410,321,360,245,53,71,78,76,78,77,79,78,79,82,80,82,81,76,81,19,83
3601,G. Greer,36,193.04,83.25,CB,223,224,210,215,242,198,63,41,41,41,41,45,43,51,43,52,60,52,54,64,54,17,65
3602,Wang Chu,27,177.8,65.7,RM,220,248,323,233,217,130,48,46,53,51,53,54,56,54,56,50,48,50,49,42,49,14,55
3603,T. Hara,21,190.5,83.25,ST,280,217,269,338,238,59,49,63,57,59,57,56,56,51,56,42,41,42,40,41,40,16,63
3604,T. Haas,22,177.8,75.60000000000001,RB,218,242,316,256,255,186,42,48,54,52,54,54,56,56,56,61,59,61,61,59,61,13,63
3605,R. Malone,27,187.96,80.55,CB,194,175,283,273,219,191,56,42,40,40,40,41,42,46,42,53,56,53,56,62,56,16,62
3606,P. Mullin,25,177.8,70.65,ST,282,290,307,333,248,98,48,61,59,59,59,58,57,52,57,46,45,46,44,45,44,14,61
3607,Victorino Magela,20,187.96,84.15,GK,52,71,228,236,175,28,367,28,25,29,25,29,26,28,26,23,27,23,23,27,23,73,74
3608,F. Paredes,21,180.34,73.35000000000001,CB,249,258,358,287,282,179,52,54,57,56,57,57,59,58,59,61,60,61,62,62,62,17,62
3609,N. Omladič,30,180.34,71.55,RM,255,349,347,306,293,140,47,58,65,64,65,66,65,63,65,58,56,58,55,49,55,15,66
3610,G. Țucudean,28,185.42,84.15,ST,329,273,298,364,300,119,50,70,64,67,64,65,63,61,63,52,53,52,52,53,52,17,71
3611,A. Godoy,30,182.88,81.45,CDM,254,303,269,337,308,192,52,59,58,61,58,63,60,68,60,62,70,62,61,66,61,16,71
3612,I. Salazar,22,177.8,69.3,LM,249,257,414,273,218,81,48,56,62,59,62,61,63,56,63,50,45,50,48,39,48,15,64
3613,André Almeida,29,185.42,79.2,RB,346,349,333,385,344,244,47,71,72,72,72,73,74,76,74,79,79,79,78,79,78,17,80
3614,K. Gibbs,30,177.8,69.3,LB,307,327,377,337,342,219,49,66,69,68,69,69,70,70,70,73,72,73,73,72,73,17,75
3615,J. Smith,22,172.72,69.3,LM,268,308,378,306,242,109,56,60,65,63,65,63,64,59,64,54,50,54,51,43,51,17,65
3616,A. Ramos,34,185.42,77.4,ST,347,308,360,377,318,119,56,72,69,70,69,68,69,64,69,58,57,58,56,55,56,18,72
3617,M. Southam-Hales,24,172.72,68.4,RB,233,238,323,248,223,165,68,50,52,50,52,51,52,50,52,53,51,53,53,52,53,17,55
3618,M. Tait,19,177.8,67.5,ST,228,205,299,259,201,47,51,52,50,52,50,50,49,43,49,35,32,35,33,30,33,15,52
3619,Berto,22,172.72,63.45,LM,286,304,372,272,278,104,39,60,64,62,64,62,63,57,63,53,49,53,50,43,50,13,64
3620,F. Mayembo,24,182.88,87.3,CB,222,192,241,325,213,191,56,48,42,43,42,43,45,48,45,56,59,56,58,65,58,16,65
3621,B. Grobler,32,182.88,77.4,ST,333,247,350,335,260,94,53,70,68,68,68,66,67,58,67,53,46,53,50,45,50,16,70
3622,A. Mora,22,190.5,80.55,CB,221,189,280,283,248,206,57,44,42,42,42,43,45,48,45,59,61,59,62,68,62,16,68
3623,T. Cantwell,22,177.8,69.3,CAM,314,359,369,285,279,115,63,68,73,73,73,74,73,69,73,57,55,57,53,45,53,19,74
3624,E. Hackman,25,187.96,73.35000000000001,RB,268,277,336,312,262,191,44,58,59,57,59,56,60,56,60,66,63,66,66,66,66,14,68
3625,D. Frare,23,187.96,76.5,CB,245,214,272,317,272,203,47,54,49,51,49,50,51,53,51,59,61,59,61,68,61,15,69
3626,A. Marchesín,32,187.96,84.15,GK,95,109,317,241,157,52,403,32,34,35,34,37,35,36,35,30,32,30,29,29,29,81,82
3627,P. Ochs,30,177.8,70.65,RB,300,339,367,354,337,222,53,63,70,66,70,68,72,71,72,74,73,74,74,73,74,15,74
3628,M. Marić,24,190.5,88.2,GK,84,91,226,225,108,51,328,26,25,26,25,26,25,25,25,25,25,25,25,26,25,64,65
3629,L. Barnard,30,177.8,67.5,ST,276,242,324,329,280,79,51,60,58,59,58,58,58,53,58,47,46,47,45,45,45,15,60
3630,F. Uduokhai,22,193.04,77.4,CB,234,242,333,304,265,226,49,55,54,55,54,56,56,61,56,66,71,66,69,75,69,17,75
3631,I. Touré,22,187.96,75.60000000000001,CDM,246,278,329,304,291,175,63,57,61,60,61,62,62,63,62,62,64,62,61,63,61,18,63
3632,N. Baumann,24,193.04,82.35000000000001,GK,59,82,176,210,95,52,348,23,21,23,21,24,22,24,22,21,25,21,21,25,21,69,70
3633,A. Abrashi,30,172.72,75.60000000000001,CDM,243,275,365,348,326,223,70,57,59,59,59,60,60,63,60,68,70,68,68,69,68,20,71
3634,Luiz Henrique,23,170.18,63.45,RM,267,310,360,282,265,122,52,62,66,67,66,66,68,63,68,57,53,57,54,45,54,17,66
3635,H. Biggins,24,175.26,67.5,CAM,222,258,308,243,248,149,50,52,57,57,57,58,57,58,57,54,55,54,53,50,53,15,58
3636,M. Dyche,17,182.88,69.3,CB,191,184,290,274,229,159,42,43,43,43,43,44,45,46,45,51,52,51,52,55,52,12,55
3637,P. Ng,24,180.34,76.5,RB,273,267,335,326,291,190,47,57,60,59,60,60,62,61,62,65,64,65,65,64,65,15,67
3638,Y. Rokutan,33,187.96,79.2,GK,64,78,204,197,100,42,312,24,21,23,21,24,22,24,22,21,23,21,21,24,21,64,65
3639,Rober Correa,27,180.34,70.65,RB,277,262,340,306,284,205,57,56,58,57,58,57,60,59,60,67,66,67,68,68,68,17,70
3640,B. Peacock-Farrell,23,193.04,72.45,GK,90,107,270,240,125,59,346,31,29,31,29,32,31,32,31,30,31,30,30,30,30,68,69
3641,M. Catalán,27,180.34,77.4,RB,296,314,361,321,298,195,64,64,66,64,66,64,67,63,67,67,63,67,68,65,68,18,70
3642,G. Yow,17,170.18,60.300000000000004,LM,221,217,307,241,222,47,46,50,53,53,53,52,52,46,52,38,35,38,35,28,35,14,53
3643,D. Sorgić,30,177.8,69.3,ST,314,323,331,362,286,99,55,68,66,68,66,68,65,64,65,50,52,50,48,47,48,16,68
3644,Javi Galán,25,172.72,69.3,LB,318,337,383,316,283,192,52,63,67,65,67,66,69,67,69,70,67,70,70,65,70,17,72
3645,M. Sykes,22,182.88,77.4,RM,288,295,348,322,287,180,51,62,64,64,64,64,65,64,65,63,62,63,63,60,63,17,64
3646,A. Ismajli,23,185.42,75.60000000000001,CB,200,237,352,267,233,213,58,47,49,48,49,50,51,54,51,62,65,62,65,69,65,18,69
3647,E. Valencia,20,175.26,67.5,RM,222,267,331,265,232,122,43,51,56,56,56,57,58,56,58,51,50,51,50,45,50,14,56
3648,Rui Silva,26,190.5,90.45,GK,92,107,190,225,146,54,391,31,27,30,27,30,28,30,28,26,29,26,26,28,26,78,79
3649,Alan Besseiro,28,175.26,67.5,LB,281,255,380,268,324,179,272,59,64,62,64,63,65,61,65,64,61,64,64,61,64,55,66
3650,H. Wright,22,193.04,89.10000000000001,ST,285,243,299,345,228,58,49,63,60,60,60,58,58,52,58,43,40,43,41,40,41,15,63
3651,D. Bielica,21,187.96,75.60000000000001,GK,66,75,192,189,101,47,293,22,21,22,21,24,23,25,23,21,24,21,21,23,21,58,59
3652,A. Toptik,21,177.8,64.35000000000001,LM,257,260,281,227,209,95,56,51,55,53,55,53,54,49,54,44,40,44,41,35,41,15,55
3653,V. Postolachi,20,187.96,79.2,ST,287,265,262,331,279,81,46,63,57,60,57,58,55,53,55,43,45,43,42,45,42,16,63
